,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
2,B1_49/15_2,16 -- 29,RC,RG,2~3,1002.2,5011.0,RG6175,,
3,,,,,,,,,,
4,B1_49/15_3,29 -- 42,RC,RG,2~3,1010.4,5052.0,RG6175,,
5,,,,,,,,,,
6,B1_49/15_4,42 -- 55,RC,RG,2~3,1010.7,5053.5,RG6175,,
7,,,,,,,,Ni - 42,,
8,B1_49/15_5,55 -- 68,RC,RG,2~3,1006.4,5032.0,RG6175,,
9,,,,,,,,,,
10,B1_49/15_6,68 -- 81,RC,RG,2~3,1012.4,5062.0,RG6175,,
11,,,,,,,,,,
12,B1_49/15_7,81 -- 97,RC,RG,2~3,1214.5,6072.5,RG6175,,
13,,,,,,,,,,
14,,,,,TOTAL,7475.0,37375.0,,,
0,D1_51/15_1,0 -- 18,-,-,-,0.0,0.0,,,
1,,,,,,,,,,
2,D1_51/15_2,18 -- 31,RC,RG,2~3,1005.5,5027.5,RG6175,,
3,,,,,,,,,,
4,D1_51/15_3,31 -- 44,RC,RG,2~3,1006.0,5030.0,RG6175,,
5,,,,,,,,,,
6,D1_51/15_4,44 -- 57,RC,RG,2~3,1011.1,5055.5,RG6175,,
7,,,,,,,,Ni - 44,,
8,D1_51/15_5,57 -- 70,RC,RG,2~3,1006.2,5031.0,RG6175,,
9,,,,,,,,,,
10,D1_51/15_6,70 -- 83,RC,RG,2~3,1003.6,5018.0,RG6175,,
11,,,,,,,,,,
12,,,,,TOTAL,5032.4,25162.0,,,
0,B1_04/16_1,0 -- 16,RC,RG,2~3,1250.5,6252.5,RG6175,,
1,,,,,,,,B1_45/15_8,,
2,B1_04/16_2,16 -- 29,RC,RG,2~3,1002.8,5014.0,RG6175,,
3,,,,,,,,,,
4,B1_04/16_3,29 -- 42,RC,RG,2~3,1008.1,5040.5,RG6175,,
5,,,,,,,,,,
6,B1_04/16_4,42 -- 55,RC,RG,2~3,1005.1,5025.5,RG6175,,
7,,,,,,,,Ni - 42,,
8,B1_04/16_5,55 -- 67,RC,RG,2~3,1006.4,5032.0,RG6175,,
9,,,,,,,,,,
10,B1_04/16_6,67 -- 80,RC,RG,2~3,1012.4,5062.0,RG6175,,
11,,,,,,,,,,
